time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-15T13:45:22.970Z,38.815834,-122.8223343,1.75,0.94,md,11,105,0.008773,0.03,nc,nc72677671,2016-08-15T13:46:59.028Z,"7km NW of The Geysers, California",earthquake,0.42,0.52,0.06,2,automatic,nc,nc
2016-08-15T13:38:42.050Z,37.4989,-118.8383,2.5,0.4,ml,8,207.6,0.093,0.1726,nn,nn00556290,2016-08-15T15:37:37.643Z,"20km SE of Mammoth Lakes, California",earthquake,,9.4,0.48,4,reviewed,nn,nn
2016-08-15T13:20:40.000Z,58.4537,-153.4418,40,1.5,ml,,,,0.15,ak,ak13845680,2016-08-15T13:39:22.722Z,"91km NNW of Kodiak Station, Alaska",earthquake,2.4,5,,,automatic,ak,ak
2016-08-15T13:11:10.095Z,38.26,-118.7355,11,1,ml,15,81.65,0.182,0.1027,nn,nn00556277,2016-08-15T15:57:26.862Z,"30km SSW of Hawthorne, Nevada",earthquake,,2.2,0.32,5,reviewed,nn,nn
2016-08-15T13:08:02.845Z,38.609,-118.492,10.6,0.2,ml,7,121.43,0.031,0.074,nn,nn00556316,2016-08-15T17:46:23.546Z,"14km NE of Hawthorne, Nevada",earthquake,,3.2,0.17,2,reviewed,nn,nn
2016-08-15T12:27:24.830Z,35.449,-118.4048333,2.34,1.44,ml,25,46,0.1579,0.17,ci,ci37446543,2016-08-15T14:03:53.304Z,"17km SSE of Bodfish, CA",earthquake,0.31,1.31,0.2,25,reviewed,ci,ci
2016-08-15T12:20:42.520Z,38.8163338,-122.8154984,2.63,0.9,md,17,79,0.008226,0.02,nc,nc72677641,2016-08-15T12:22:18.422Z,"6km NW of The Geysers, California",earthquake,0.27,0.46,0.12,5,automatic,nc,nc
2016-08-15T12:19:42.770Z,38.8191681,-122.8148346,2.66,2,md,39,63,0.005625,0.03,nc,nc72677636,2016-08-15T12:44:15.014Z,"6km NW of The Geysers, California",earthquake,0.17,0.28,0.11,14,automatic,nc,nc
2016-08-15T12:19:10.000Z,65.2344,-149.3468,15,1.7,ml,,,,0.93,ak,ak13845486,2016-08-15T12:33:51.931Z,"65km ENE of Manley Hot Springs, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-08-15T12:16:50.030Z,36.747,-97.6097,2.09,2.9,mb_lg,,25,0.226,0.43,us,us10006dwm,2016-08-15T18:02:07.722Z,"12km ESE of Medford, Oklahoma",earthquake,0.6,7.7,0.066,59,reviewed,us,us
2016-08-15T12:13:49.260Z,34.0231667,-117.2178333,15.52,0.41,ml,17,132,0.1037,0.12,ci,ci37446527,2016-08-15T21:16:47.028Z,"5km SW of Redlands, CA",earthquake,0.27,0.57,0.085,8,reviewed,ci,ci
2016-08-15T11:55:28.280Z,33.4973333,-116.5263333,8,0.42,ml,26,86,0.06013,0.18,ci,ci37446519,2016-08-15T14:04:09.434Z,"15km ESE of Anza, CA",earthquake,0.26,0.59,0.112,14,reviewed,ci,ci
2016-08-15T11:44:08.190Z,37.4894981,-118.7796631,6.4,2.01,md,24,123,0.1078,0.04,nc,nc72677626,2016-08-15T11:45:43.231Z,"24km SE of Mammoth Lakes, California",earthquake,0.34,2.18,0.11,21,automatic,nc,nc
2016-08-15T11:40:11.450Z,34.0235,-117.2241667,14.48,0.59,ml,20,89,0.1292,0.14,ci,ci37446503,2016-08-15T14:04:26.036Z,"4km SE of Loma Linda, CA",earthquake,0.3,0.8,0.07,10,reviewed,ci,ci
2016-08-15T11:38:55.000Z,65.1604,-143.4846,5,0.9,ml,,,,0.65,ak,ak13845468,2016-08-15T11:54:01.974Z,"65km ESE of Circle Hot Springs Station, Alaska",earthquake,0.9,0.4,,,automatic,ak,ak
