time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-17T13:34:29.400Z,35.6867,-97.1082,1.18,4,mwr,,20,0.074,0.4,us,us10006eew,2016-08-19T14:01:33.432Z,"8km ENE of Luther, Oklahoma",earthquake,2.6,6.6,0.038,67,reviewed,us,us
2016-08-17T13:06:36.720Z,-19.7671,-175.5456,240.47,4.6,mb,,104,6.39,1.21,us,us10006eet,2016-08-17T13:26:51.661Z,"125km W of Pangai, Tonga",earthquake,12.1,7.4,0.071,59,reviewed,us,us
2016-08-17T13:00:20.520Z,-27.8985,-71.3277,16.52,4.6,mb,,157,0.378,0.84,us,us10006eer,2016-08-17T14:48:01.040Z,"93km NW of Vallenar, Chile",earthquake,2.2,6,0.173,10,reviewed,us,us
2016-08-17T12:38:48.440Z,40.2963333,-124.499,19.91,2.67,md,22,242,0.1662,0.09,nc,nc72678786,2016-08-17T20:31:56.737Z,"36km SSW of Ferndale, California",earthquake,0.75,0.26,0.187,33,reviewed,nc,nc
2016-08-17T12:36:22.000Z,-11.61,-76.95,113,4.2,mb,,,,1,us,us10006ejj,2016-08-18T01:18:33.914Z,"30km ESE of Huaral, Peru",earthquake,14.3,6.9,0.529,1,reviewed,lim,us
2016-08-17T12:36:01.000Z,-16.52,-71.74,20,4.3,mb,,,,1.17,us,us10006ejt,2016-08-17T21:15:32.177Z,"25km WSW of Arequipa, Peru",earthquake,13.5,9.9,0.533,1,reviewed,lim,us
2016-08-17T12:08:50.000Z,62.9412,-150.1864,100,2.5,ml,,,,0.4,ak,ak13847179,2016-08-17T12:31:00.167Z,"68km N of Talkeetna, Alaska",earthquake,0.2,0.5,,,automatic,ak,ak
2016-08-17T07:27:21.000Z,59.8484,-153.0934,100,2.9,ml,,,,0.63,ak,ak13847108,2016-08-17T07:41:53.977Z,"71km W of Anchor Point, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-08-17T07:05:04.000Z,18.76,-67.466,9,2.6,Md,8,223.2,0.37280084,0.46,pr,pr16230002,2016-08-17T11:33:57.912Z,"48km NW of San Antonio, Puerto Rico",earthquake,1.9,1.5,0,7,reviewed,pr,pr
2016-08-17T06:01:46.890Z,-10.3748,124.6186,10,4.8,mb,,92,0.706,1.31,us,us10006ec4,2016-08-17T08:11:42.462Z,"67km SSE of Soe, Indonesia",earthquake,6.6,1.9,0.101,30,reviewed,us,us
2016-08-17T04:02:52.000Z,59.8484,-153.0934,100,2.6,ml,,,,0.59,ak,ak13847067,2016-08-17T04:17:30.049Z,"71km W of Anchor Point, Alaska",earthquake,0.7,0.6,,,automatic,ak,ak
2016-08-17T02:56:17.710Z,37.3114,141.6579,45.12,4.4,mb,,134,0.886,0.7,us,us10006ebn,2016-08-17T04:56:55.073Z,"61km ESE of Namie, Japan",earthquake,7.8,8,0.063,72,reviewed,us,us
2016-08-17T02:39:05.790Z,36.2421,-98.4485,5,3.6,mb_lg,,59,0.243,0.63,us,us10006ebk,2016-08-18T02:43:28.391Z,"4km SE of Fairview, Oklahoma",earthquake,1.2,2,0.053,92,reviewed,us,us
2016-08-17T02:38:53.290Z,36.4133,-97.366,5,2.8,ml,,53,0.186,0.19,us,us10006ebi,2016-08-17T03:00:26.807Z,"15km NNW of Perry, Oklahoma",earthquake,0.8,1.9,0.059,38,reviewed,us,us
2016-08-17T02:22:40.150Z,-5.8153,145.5998,115.89,4.5,mb,,91,4.14,0.73,us,us10006ebh,2016-08-17T03:55:51.581Z,"37km NE of Goroka, Papua New Guinea",earthquake,7.9,8.1,0.092,35,reviewed,us,us
2016-08-17T02:18:56.600Z,36.4559,-98.403,5.717,2.6,ml,,58,,0.29,us,us10006ebf,2016-08-18T05:00:54.088Z,"15km SW of Helena, Oklahoma",earthquake,0.8,3.7,,,reviewed,tul,tul
2016-08-17T01:07:05.450Z,38.6272,38.0114,7.8,4,mb,,76,1.707,1.05,us,us10006ebd,2016-08-17T02:16:43.359Z,"15km WNW of Yazihan, Turkey",earthquake,6.7,6.5,0.123,18,reviewed,us,us
2016-08-16T23:57:58.970Z,18.4474,145.7637,200.09,4.8,mb,,56,3.188,1.22,us,us10006eb6,2016-08-17T00:14:42.117Z,"36km SSE of Agrihan, Northern Mariana Islands",earthquake,9.8,6.8,0.047,138,reviewed,us,us
2016-08-16T23:56:53.570Z,2.8105,95.3676,27.58,4.8,mb,,189,2.666,0.58,us,us10006eb7,2016-08-17T00:21:36.835Z,"118km WNW of Sinabang, Indonesia",earthquake,3,6.2,0.083,45,reviewed,us,us
2016-08-16T23:49:16.060Z,37.4893333,-118.7855,4.76,2.53,md,41,102,0.05081,0.06,nc,nc72678456,2016-08-17T18:45:56.676Z,"24km SE of Mammoth Lakes, California",earthquake,0.19,0.52,0.211,35,reviewed,nc,nc
